key,opp_abbr,wy
RAM-202209080ram,BUF,1 | 2022
BUF-202209080ram,RAM,1 | 2022
ATL-202209110atl,NOR,1 | 2022
NOR-202209110atl,ATL,1 | 2022
CAR-202209110car,CLE,1 | 2022
CLE-202209110car,CAR,1 | 2022
CHI-202209110chi,SFO,1 | 2022
SFO-202209110chi,CHI,1 | 2022
CIN-202209110cin,PIT,1 | 2022
PIT-202209110cin,CIN,1 | 2022
DET-202209110det,PHI,1 | 2022
PHI-202209110det,DET,1 | 2022
HTX-202209110htx,CLT,1 | 2022
CLT-202209110htx,HTX,1 | 2022
MIA-202209110mia,NWE,1 | 2022
NWE-202209110mia,MIA,1 | 2022
NYJ-202209110nyj,RAV,1 | 2022
RAV-202209110nyj,NYJ,1 | 2022
WAS-202209110was,JAX,1 | 2022
JAX-202209110was,WAS,1 | 2022
CRD-202209110crd,KAN,1 | 2022
KAN-202209110crd,CRD,1 | 2022
MIN-202209110min,GNB,1 | 2022
GNB-202209110min,MIN,1 | 2022
OTI-202209110oti,NYG,1 | 2022
NYG-202209110oti,OTI,1 | 2022
SDG-202209110sdg,RAI,1 | 2022
RAI-202209110sdg,SDG,1 | 2022
DAL-202209110dal,TAM,1 | 2022
TAM-202209110dal,DAL,1 | 2022
SEA-202209120sea,DEN,1 | 2022
DEN-202209120sea,SEA,1 | 2022
