abbr,name
TAM,TampaBayBuccaneers
DAL,DallasCowboys
PIT,PittsburghSteelers
BUF,BuffaloBills
PHI,PhiladelphiaEagles
ATL,AtlantaFalcons
SDG,LosAngelesChargers
WAS,WashingtonFootballTeam
CRD,ArizonaCardinals
OTI,TennesseeTitans
HTX,HoustonTexans
JAX,JacksonvilleJaguars
SFO,SanFrancisco49ers
DET,DetroitLions
SEA,SeattleSeahawks
CLT,IndianapolisColts
CIN,CincinnatiBengals
MIN,MinnesotaVikings
CAR,CarolinaPanthers
NYJ,NewYorkJets
DEN,DenverBroncos
NYG,NewYorkGiants
MIA,MiamiDolphins
NWE,NewEnglandPatriots
NOR,NewOrleansSaints
GNB,GreenBayPackers
KAN,KansasCityChiefs
CLE,ClevelandBrowns
RAM,LosAngelesRams
CHI,ChicagoBears
RAI,LasVegasRaiders
RAV,BaltimoreRavens
