year,games,weeks
1978,16,16
1979,16,16
1980,16,16
1981,16,16
1982,9,17
1983,16,16
1984,16,16
1985,16,16
1986,16,16
1987,15,16
1988,16,16
1989,16,16
1990,16,17
1991,16,17
1992,16,17
1993,16,18
1994,16,17
1995,16,17
1996,16,17
1997,16,17
1998,16,17
1999,16,17
2000,16,17
2001,16,17
2002,16,17
2003,16,17
2004,16,17
2005,16,17
2006,16,17
2007,16,17
2008,16,17
2009,16,17
2010,16,17
2011,16,17
2012,16,17
2013,16,17
2014,16,17
2015,16,17
2016,16,17
2017,16,17
2018,16,17
2019,16,17
2020,16,17
2021,17,18
2022,17,18
